state_ut,year
Karnataka,2010
Kerala,2010
Madhya Pradesh,2010
Maharashtra,2010
Manipur,2010
Meghalaya,2010
Mizoram,2010
Nagaland,2010
Odisha,2010
Punjab,2010
Rajasthan,2010
Sikkim,2010
Tamil Nadu,2010
Tripura,2010
Uttar Pradesh,2010
Uttarakhand,2010
West Bengal,2010
Total (States),2010
Andaman & Nicobar Islands,2010
Chandigarh,2010
Dadra Nagar Haveli,2010
Daman & Diu,2010
Delhi,2010
Lakshadweep,2010
Puducherry,2010
Total (UTs),2010
Total (All-India),2010
Agra,2010
Ahmedabad,2010
Allahabad,2010
Amritsar,2010
Asansol,2010
Bengaluru,2010
Bhopal,2010
Chennai,2010
Coimbatore,2010
Delhi (city),2010
Dhanbad,2010
Faridabad,2010
Hyderabad,2010
Indore,2010
Jabalpur,2010
Jaipur,2010
Jamshedpur,2010
Kanpur,2010
Kochi,2010
Kolkata,2010
Lucknow,2010
Ludhiana,2010
Madurai,2010
Meerut,2010
Mumbai,2010
Nagpur,2010
Nasik,2010
Patna,2010
Pune,2010
Rajkot,2010
Surat,2010
Vadodara,2010
Varanasi,2010
Vijayawada,2010
Vishakhapatnam,2010
Total (Cities),2010
Andhra Pradesh,2011
Arunachal Pradesh,2011
Assam,2011
Bihar,2011
Chhattisgarh,2011
Goa,2011
Gujarat,2011
Haryana,2011
Himachal Pradesh,2011
Jammu & Kashmir,2011
Jharkhand,2011
Karnataka,2011
Kerala,2011
Madhya Pradesh,2011
Maharashtra,2011
Manipur,2011
Meghalaya,2011
Mizoram,2011
Nagaland,2011
Odisha,2011
Punjab,2011
Rajasthan,2011
Sikkim,2011
Tamil Nadu,2011
Tripura,2011
Uttar Pradesh,2011
Uttarakhand,2011
West Bengal,2011
Total (States),2011
A & N Islands,2011
Chandigarh,2011
D & N Haveli,2011
Daman & Diu,2011
Delhi,2011
Lakshadweep,2011
Puducherry,2011
Total (UTs),2011
Total (All-India),2011
Agra,2011
Ahmedabad,2011
Allahabad,2011
Amritsar,2011
Asansol,2011
Aurangabad,2011
Bengaluru,2011
Bhopal,2011
Chandigarh(c),2011
Chennai,2011
Coimbatore,2011
Delhi (city),2011
Dhanbad,2011
Durg-bhilainagar,2011
Faridabad,2011
Ghaziabad,2011
Gwalior,2011
Hyderabad,2011
Indore,2011
Jabalpur,2011
Jaipur,2011
Jamshedpur,2011
Jodhpur,2011
Kannur,2011
Kanpur,2011
Kochi,2011
Kolkata,2011
Kollam,2011
Kota,2011
Kozhikode,2011
Lucknow,2011
Ludhiana,2011
Madurai,2011
Malappuram,2011
Meerut,2011
Mumbai,2011
Nagpur,2011
Nasik,2011
Patna,2011
Pune,2011
Raipur,2011
Rajkot,2011
Ranchi,2011
Srinagar,2011
Surat,2011
